iter	Passed	Remaining
560	6123	37536
561	6132	37516
562	6144	37508
563	6155	37498
564	6165	37484
565	6176	37474
566	6190	37481
567	6203	37485
568	6215	37478
569	6226	37466
570	6238	37463
571	6249	37454
572	6261	37445
573	6270	37427
574	6283	37425
575	6293	37408
576	6306	37410
577	6317	37403
578	6328	37392
579	6340	37385
580	6353	37386
581	6365	37384
582	6378	37381
583	6388	37368
584	6402	37374
585	6415	37378
586	6428	37377
587	6438	37363
588	6451	37361
589	6461	37345
590	6472	37334
591	6484	37327
592	6496	37326
593	6510	37332
594	6522	37323
595	6534	37320
596	6547	37321
597	6560	37321
598	6572	37315
599	6584	37309
600	6595	37302
601	6607	37295
602	6617	37282
603	6634	37302
604	6648	37308
605	6665	37328
606	6677	37324
607	6686	37301
608	6697	37294
609	6714	37315
610	6728	37318
611	6740	37315
612	6751	37305
613	6763	37299
614	6775	37293
615	6788	37294
616	6800	37286
617	6811	37276
618	6821	37261
619	6834	37259
620	6847	37257
621	6858	37249
622	6870	37240
623	6882	37234
624	6893	37226
625	6905	37220
626	6916	37206
627	6927	37198
628	6937	37181
629	6947	37162
630	6958	37154
631	6969	37139
632	6981	37137
633	6993	37128
634	7005	37125
635	7018	37124
636	7028	37109
637	7042	37109
638	7054	37107
639	7067	37101
640	7077	37088
641	7088	37076
642	7098	37061
643	7109	37048
644	7119	37034
645	7132	37029
646	7144	37023
647	7153	37002
648	7162	36983
649	7172	36963
650	7185	36964
651	7197	36960
652	7208	36945
653	7220	36941
654	7234	36947
655	7246	36938
656	7256	36924
657	7269	36920
658	7280	36912
659	7294	36915
660	7304	36900
661	7314	36882
662	7324	36865
663	7335	36854
664	7348	36853
665	7359	36842
666	7370	36829
667	7382	36826
668	7395	36824
669	7407	36818
670	7419	36810
671	7431	36802
672	7445	36805
673	7455	36791
674	7468	36789
675	7483	36795
676	7492	36775
677	7501	36756
678	7513	36749
679	7523	36733
680	7535	36726
681	7546	36714
682	7558	36708
683	7568	36693
684	7580	36687
685	7591	36674
686	7603	36664
687	7613	36649
688	7623	36637
689	7637	36637
690	7650	36637
691	7660	36620
692	7672	36613
693	7684	36607
694	7697	36602
695	7709	36597
696	7720	36584
697	7730	36571
698	7740	36552
699	7751	36542
700	7764	36541
701	7775	36530
702	7786	36515
703	7796	36504
704	7807	36490
705	7819	36485
706	7833	36485
707	7844	36474
708	7857	36472
709	7868	36462
710	7878	36442
711	7888	36428
712	7898	36412
713	7908	36398
714	7920	36391
715	7933	36386
716	7943	36370
